0,1,2,3,4,5,6
2021-07-26 14:58:11+00:00,1419673410028851210,"I've looked for the silver bullet to make my startup take off for a while now. 

I tried revamping the UX.
I tried adding features.
I tried fixing the landing page copy.

Sadly, none of those alone gave me a big win 😢

But they all added up, and led to steady growth over time 🤩",13,0,0,0
2021-07-26 14:03:06+00:00,1419659548126760965,https://t.co/VHrzeaRlFr,11,1,3,0
2021-07-25 16:57:14+00:00,1419340981804191748,https://t.co/ye4X42M3at,10,0,0,0
2021-07-25 15:05:04+00:00,1419312753014095875,"There are so many products now, every founder faces enormous competition.

But if your goal is just to be free and make a living, you don't need to beat all of them.

Just solve a small problem differently and grab people's attention.

Lots of customers buy from small players.",17,0,1,0
2021-07-25 13:59:07+00:00,1419296156430045190,https://t.co/fpcwqt1x7G,62,7,4,5
2021-07-25 13:26:01+00:00,1419287824843616258,"Welcome to all my new followers 👋

Don't worry, I’m not about to sell you a course about growing your twitter just because I’ve made a couple of viral tweets.

Only sharing my journey as a bootstrapped founder, and making fun memes along the way. https://t.co/r1pga78hqg",16,0,3,1
2021-07-24 16:55:16+00:00,1418978098364751881,https://t.co/0fstZDWAuO,66,8,4,3
2021-07-24 13:58:13+00:00,1418933540666978320,"My initial goal for my startup was $10K a month.

But 16 months after launch I'm only at $600.

It seems so out of reach. I'm losing motivation 😥

Then I realized, with just $2.5k I could get a base salary.

I know how to reach it and it would make me so happy 🤩

LET'S GOOOO 🔥",459,10,56,0
2021-07-24 12:48:45+00:00,1418916058983960578,"It’s not an unfinished product, it’s a finished product with a smaller scope than you aimed for initially.",22,1,0,0
2021-07-24 10:10:32+00:00,1418876241864712192,"Founders giving advice: stop building your product and start marketing it!

Voice in my head: I agree but you don't know about my product, in my case it's different.

Every single time 😂

Until I met @KarthikS2206. I don't know how he did it but he actually convinced me 🔥",19,2,1,0
2021-07-23 16:59:07+00:00,1418616680771690501,https://t.co/anClVmCUDI,34,4,4,1
2021-07-23 13:53:10+00:00,1418569883743313926,"I have so many ideas for my startup 🤯

But I can get stuck for days trying to figure out what the next priority is. 🤨

So I just start working on what brings me joy in the moment, even if it seems pointless at first. 🧘‍♂️

That way I stay shipping, and don't lose momentum 🚢",15,3,5,0
2021-07-22 17:06:07+00:00,1418256053817548805,https://t.co/3QdPxDHSNA,304,29,13,6
2021-07-22 14:02:06+00:00,1418209744662061062,"In my 20s I read hundreds of startup books. 📚

The more I learned,  the better I became. 🤓

But after a while, it turned into an escape from hard work. I’d dream about every new idea and never build anything. 😴 

Now I’m in my 30s and read nothing. I’m focused on action. 🚀",37,2,10,1
2021-07-21 16:54:04+00:00,1417890631695970304,"I thought building my own startup would free me from all the ""stupid decisions"" my boss imposed on me..

Little did I know, the anxiety of being responsible for said decisions is 10 times worse, even crippling at times.

Be careful what you wish for 😅",30,3,2,1
2021-07-21 13:56:14+00:00,1417845879856304130,https://t.co/4YuaSJbp3N,3,0,0,0
2021-07-21 07:47:26+00:00,1417753065646604289,Let’s support @cogentgene and his new tailwind release for saas blocks 🔥 https://t.co/HEdZNkQXn3,12,0,2,1
2021-07-20 16:54:10+00:00,1417528271441473539,https://t.co/RnB2dCv3rB,19,1,0,2
2021-07-20 14:07:05+00:00,1417486220632993795,"Hadn't listened to the radio in years. Realized it's like twitter.

99% is the same recycled b.s we've all heard a hundred times.

Sometimes there's an original sound that comes up though. It instantly grabs you and you go check on the artist.

Be original.",14,0,3,0
2021-07-19 16:57:06+00:00,1417166618266902534,https://t.co/FaoArjkVf2,6,0,0,0
2021-07-19 14:04:12+00:00,1417123106330750981,"As a freelance dev I always took small breaks whenever it got too crazy. I didn't need real vacations.

Running a startup though, I feel way more anxiety and I work non-stop.

Not taking vacations in this context was a big mistake.",8,0,0,0
2021-07-19 13:20:00+00:00,1417111986102587392,"Let’s support @GilliSig and his canva competitor, only better since it uses your branding 🔥 https://t.co/mXVunbvVu2",6,3,3,0
2021-07-19 11:59:25+00:00,1417091705753546753,Just got back from our first vacation in 2.5 years. Made a short IH post about it. https://t.co/re8tw75yET,14,1,0,0
2021-07-16 16:59:11+00:00,1416079980971368451,"Have you poured your heart and soul into your product to build an app that can truly help people?

Then no matter how many features it still lacks, some people out there desperately need it. They just have no idea it exists.

Start promoting it now, they will thank you for it.",10,1,0,0
